Réplica,Semente,Tratamento,Germinadas
1,Carolina,Escarificada,10
2,Carolina,Escarificada,10
3,Carolina,Escarificada,10
4,Carolina,Escarificada,10
5,Carolina,Escarificada,10
1,Carolina,Controle,0
2,Carolina,Controle,0
3,Carolina,Controle,1
4,Carolina,Controle,1
5,Carolina,Controle,1
1,Mororó,Escarificada,8
2,Mororó,Escarificada,8
3,Mororó,Escarificada,9
4,Mororó,Escarificada,8
5,Mororó,Escarificada,6
1,Mororó,Controle,5
2,Mororó,Controle,0
3,Mororó,Controle,1
4,Mororó,Controle,1
5,Mororó,Controle,3